"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"IDT","IDT Corporation","15.07","345555702.8","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/idt",
"IEC","IEC Electronics Corp.","4.47","45498234.72","n/a","United States","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec",
"IROQ","IF Bancorp, Inc.","19.35","77672080.35","n/a","United States","2011","Finance","Savings Institutions","http://www.nasdaq.com/symbol/iroq",
"IRG","Ignite Restaurant Group, Inc.","3.13","81945556.57","n/a","United States","2012","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/irg",
"RXDX","Ignyta, Inc.","6.23","201472474.63","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rxdx",
"IHS","IHS Inc.","119.57","8062045990.68","n/a","United States","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ihs",
"IIVI","II-VI Incorporated","20.85","1277252485.2","n/a","United States","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/iivi",
"KANG","iKang Healthcare Group, Inc.","21.6","1415298484.8","n/a","China","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/kang",
"IKNX","Ikonics Corporation","11.906","24029320.218","n/a","United States","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/iknx",
"ITW","Illinois Tool Works Inc.","101.39","36882325686.83","n/a","United States","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/itw",
"ILMN","Illumina, Inc.","155.34","22834980000","n/a","United States","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/ilmn",
"ISNS","Image Sensing Systems, Inc.","2.75","13827000","n/a","United States","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/isns",
"IMN","Imation Corporation","1.51","56273837.42","n/a","United States","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/imn",
"IMAX","Imax Corporation","30.18","2103138630.36","n/a","Canada","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/imax",
"IMMR","Immersion Corporation","8.18","231983654.8","n/a","United States","1999","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/immr",
"ICCC","ImmuCell Corporation","6.53","19949372.02","n/a","United States","1987","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/iccc",
"IMDZ","Immune Design Corp.","10.65","214631601.3","n/a","United States","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imdz",
"IMNP          ","Immune Pharmaceuticals Inc.","0.46","13929139.94","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imnp          ",
"IMUC","ImmunoCellular Therapeutics, Ltd.","0.3","27093044.7","n/a","United States","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc",
"IMGN","ImmunoGen, Inc.","7.85","683427821.65","n/a","United States","1989","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imgn",
